sample_index,image_path,slide_id,label,bbox_x1,bbox_y1,bbox_x2,bbox_y2,split
45,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,6316,401,6500,530,train
46,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,6172,731,6322,884,train
47,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,6316,401,6500,530,train
48,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,6007,678,6140,805,train
49,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,5796,751,5898,853,train
50,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,5802,617,6023,822,train
51,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,5738,728,5898,888,train
52,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4967,839,5147,987,train
53,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4854,1079,5023,1284,train
54,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4110,1170,4219,1293,train
55,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4110,1041,4247,1230,train
56,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3821,1235,3997,1376,train
57,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3663,978,3796,1115,train
58,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3730,970,3845,1080,train
59,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3772,949,3887,1059,train
60,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,2417,1077,2540,1208,train
61,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,840,914,1003,1085,train
62,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,234,762,374,902,train
63,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,43,978,150,1093,train
64,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,44,848,171,993,train
65,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,132,1091,271,1244,train
66,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,132,1010,266,1145,train
67,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,366,1184,472,1280,train
68,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,366,1034,558,1201,train
69,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,624,1196,818,1371,train
70,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,677,1136,821,1317,train
71,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,1730,1457,1862,1590,train
72,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,2507,1726,2630,1841,train
73,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,2729,1896,2863,2034,train
74,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,2685,1774,2852,1971,train
75,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,2953,1898,3093,2030,train
76,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3273,2052,3379,2160,train
77,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3271,2011,3375,2127,train
78,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3240,1985,3339,2094,train
79,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3264,1976,3368,2080,train
80,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3292,1927,3404,2028,train
81,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3548,2127,3641,2233,train
82,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3595,2048,3695,2147,train
83,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3581,2042,3753,2193,train
84,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4548,2349,4680,2451,train
85,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4493,2329,4607,2438,train
86,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4486,2160,4673,2388,train
87,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4284,1765,4414,1877,train
88,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4237,1629,4403,1838,train
89,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4286,1608,4417,1704,train
90,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4472,1844,4663,2032,train
91,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,5420,1988,5561,2188,train
92,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,5240,1766,5357,1903,train
93,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,5427,1469,5559,1602,train
94,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,5703,1336,5845,1487,train
95,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,5694,1622,5967,1790,train
96,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,5934,1334,6091,1518,train
97,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,6094,1159,6273,1327,train
98,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,6079,1355,6263,1517,train
99,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,6230,1710,6364,1884,train
100,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,5903,1895,6088,2058,train
101,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,5936,2145,6087,2297,train
102,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,5472,2074,5593,2197,train
103,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,5420,1988,5561,2193,train
104,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4493,2160,4673,2349,train
105,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4493,2329,4603,2438,train
106,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4486,2256,4603,2388,train
107,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3595,2048,3695,2147,train
108,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3581,2045,3749,2193,train
109,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4259,2583,4389,2734,train
110,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4567,2713,4704,2827,train
111,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4522,2798,4651,2912,train
112,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4606,2778,4738,2933,train
113,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4826,3046,4948,3146,train
114,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,2732,2211,2879,2431,train
115,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,2573,2255,2741,2494,train
116,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,2228,2538,2409,2722,train
117,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,1874,2394,2004,2541,train
118,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,1845,2304,2012,2438,train
119,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,1186,2071,1324,2188,train
120,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,649,2016,756,2122,train
121,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,588,1978,712,2129,train
122,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,307,2030,406,2128,train
123,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,273,1907,419,2101,train
124,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,448,2497,616,2653,train
125,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,955,2605,1100,2732,train
126,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,907,2570,1040,2690,train
127,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,1414,2873,1547,3018,train
128,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,1394,2825,1523,2949,train
129,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,1598,2997,1703,3099,train
130,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,1611,2942,1741,3066,train
131,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,1822,3090,1955,3226,train
132,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,1886,3061,1986,3167,train
133,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,2068,3046,2246,3210,train
134,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,2043,3280,2138,3383,train
135,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,1943,3271,2109,3424,train
136,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,1141,3250,1332,3434,train
137,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,0,3108,140,3275,train
138,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,582,3276,729,3433,train
139,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,876,3392,1011,3509,train
140,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,859,3367,974,3475,train
141,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,1000,3227,1113,3335,train
142,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,950,3145,1084,3288,train
143,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,1002,3135,1153,3292,train
144,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,1555,3300,1655,3398,train
145,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,1452,3219,1627,3383,train
146,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,1943,3271,2109,3424,train
147,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,2827,3342,2964,3494,train
148,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3011,3608,3149,3745,train
149,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3167,3652,3312,3815,train
150,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3165,3585,3308,3730,train
151,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,2292,3534,2453,3669,train
152,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,1593,3868,1710,3975,train
153,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,1467,3791,1681,4012,train
154,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,792,3562,907,3708,train
155,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,850,3538,991,3685,train
156,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,2820,3344,2964,3494,train
157,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3011,3604,3149,3745,train
158,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3167,3652,3312,3815,train
159,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3165,3580,3308,3730,train
160,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3650,4042,3777,4191,train
161,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3677,3965,3826,4096,train
162,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3650,3913,3783,4046,train
163,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3727,3751,3851,3891,train
164,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3667,3747,3763,3861,train
165,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3674,3689,3804,3821,train
166,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3656,3508,3759,3620,train
167,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3568,3464,3758,3672,train
168,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4300,3857,4442,3971,train
169,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4199,4029,4352,4204,train
170,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3965,3856,4110,4038,train
171,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4096,4117,4224,4231,train
172,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4160,4161,4325,4304,train
173,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4606,3500,4714,3607,train
174,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4647,3463,4749,3564,train
175,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4558,3443,4692,3576,train
176,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,6263,3614,6407,3759,train
177,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,6215,2390,6315,2490,train
178,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,6211,2343,6340,2460,train
179,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,6323,4214,6469,4349,train
180,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,5827,4603,5997,4722,train
181,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,5706,4296,5804,4395,train
182,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,5669,4227,5784,4353,train
183,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4809,4432,4965,4581,train
184,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4818,4863,4976,5000,train
185,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4697,4659,4841,4797,train
186,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4313,4909,4421,5000,train
187,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4329,4866,4503,5000,train
188,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3699,4578,3845,4728,train
189,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,2982,4638,3080,4744,train
190,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,2919,4580,3072,4716,train
191,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3000,4497,3138,4622,train
192,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,2632,4547,2805,4701,train
193,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,1006,4816,1190,5000,train
194,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,661,4802,790,4980,train
195,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,117,4696,259,4852,train
196,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,6940,255,7094,381,train
197,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,7164,488,7359,633,train
198,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,7353,568,7537,722,train
199,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,6683,172,6824,311,train
200,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,6940,255,7094,381,train
201,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,7248,129,7407,271,train
202,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,7350,575,7543,710,train
203,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,7631,1096,7792,1268,train
204,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,7572,1003,7741,1169,train
205,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,7732,777,7851,881,train
206,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,7789,760,7920,870,train
207,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,7978,846,8147,964,train
208,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,8065,970,8212,1115,train
209,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,7990,1278,8120,1416,train
210,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,7941,1276,8069,1407,train
211,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,7936,1172,8120,1348,train
212,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,8785,876,8969,1015,train
213,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,8638,1242,8812,1405,train
214,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,8754,1378,8945,1524,train
215,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,8874,1376,8993,1477,train
216,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,8460,1518,8629,1688,train
217,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,9358,2194,9513,2338,train
218,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,9266,2544,9420,2676,train
219,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,8701,2683,8884,2837,train
220,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,8861,3149,9019,3273,train
221,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,8829,3149,8935,3245,train
222,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,9703,2751,9803,2874,train
223,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,9767,2672,9894,2843,train
224,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,9713,2648,9834,2788,train
225,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,9716,3388,9852,3521,train
226,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,9987,3357,10195,3486,train
227,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,9977,3179,10092,3297,train
228,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,10074,3159,10229,3302,train
229,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,9719,4215,9849,4324,train
230,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,9656,4211,9776,4323,train
231,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,10238,4881,10349,4985,train
232,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,10251,4824,10392,4953,train
233,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,10326,4815,10450,4927,train
234,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,9097,4582,9251,4704,train
235,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,9032,4115,9185,4248,train
236,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,9235,4557,9365,4679,train
237,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,9312,4651,9468,4807,train
238,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,8889,3871,9009,3991,train
239,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,8944,3854,9056,3959,train
240,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,8654,3723,8788,3854,train
241,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,8553,3259,8730,3430,train
242,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,8395,2983,8623,3122,train
243,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,8067,4615,8179,4715,train
244,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,8014,4533,8147,4666,train
245,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,7833,4534,8022,4685,train
246,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,7776,4085,7923,4230,train
247,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,7748,3552,7918,3687,train
248,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,7900,3524,8076,3668,train
249,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,7515,3390,7660,3530,train
250,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,6844,4045,6964,4146,train
251,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,6506,2385,6758,2527,train
252,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,6891,2946,6994,3047,train
253,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,6806,2932,6966,3068,train
254,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,6679,3280,6796,3388,train
255,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,6732,3247,6837,3344,train
256,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,6616,4107,6750,4239,train
257,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,6673,4093,6781,4198,train
258,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,6927,4213,7058,4334,train
259,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,7033,4198,7149,4307,train
260,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,6957,4141,7094,4293,train
261,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,7003,4089,7132,4196,train
262,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,7304,2301,7445,2464,train
263,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,7346,2172,7504,2350,train
264,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,7015,1811,7168,2025,train
265,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,7826,2166,7940,2281,train
266,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,7869,2154,7987,2267,train
267,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,7953,2066,8086,2210,train
268,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,8017,2048,8137,2205,train
269,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,7363,1630,7561,1803,train
270,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,88,5553,259,5741,train
271,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,698,5433,838,5674,train
272,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,932,5184,1048,5290,train
273,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,1377,5201,1530,5335,train
274,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,2028,5177,2163,5307,train
275,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,2519,5181,2666,5354,train
276,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3115,5639,3268,5776,train
277,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4235,5288,4370,5430,train
278,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4405,5640,4549,5807,train
279,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4300,5803,4451,5950,train
280,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4378,6034,4549,6242,train
281,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4658,5956,4839,6084,train
282,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4658,6260,4851,6395,train
283,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4769,5158,4955,5303,train
284,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,5234,5187,5407,5349,train
285,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,5549,5163,5794,5317,train
286,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,5687,5140,5794,5237,train
287,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,5529,5509,5667,5652,train
